GP2,Top1,Top5,Feedback
0.0666020900843226,14.29144,14.29144,4.8
0.815592975282818,0.03733808,0.76545928,4.6
0.088451092382738,0.03169871,0.33918861,4.4
0.0811135723017804,1.345605,1.345605,3.8
0.101994917413263,9.588015,9.588015,4
0.163941770392682,0.6800894,1.9094254,4.2
1.0099375002443,0.007749323,0.038746615,4.8
0.183600312106828,0.3899552,3.3563431,2.8
0.0830045770708927,0.0003789639,0.1280703239,3.8
0.0285143078966161,0.282843,1.6041592,3.6
0.0479336019815378,11.49396,11.49396,3.2
0.030299643758972,0.0003730656,2.2591356056,3.8
0.456368495092068,0.02703892,0.29876206,2.8
0.845715193716678,0.2799036,3.8480119,5
0.304427336538666,0.3768857,8.4451267,4.8
0.172049361642784,0.002867762,0.17007344,4.2
0.438256931049148,0.03090415,0.42631436,4.2
1.01429756910912,0.005081613,0.025408065,4.4
0.8652466628442,0.4456262,6.1263052,4.8
0.307029407338213,0.4980514,10.0519574,4.6
0.478487571608195,0.1236715,1.8320259,4
0.105938782319201,0.06210829,0.64624159,4.4
0.872661161856943,0.8864186,7.7462262,3.8
0.0957216960523782,0.002575855,0.155118975,4.4
0.533063757045095,0.01123626,0.09844473,3.8
0.115266459802208,0.0008384812,0.1139224142,4.6
0.0479336019815378,11.17234,11.17234,4.8
0.0774993780056839,9.079399,9.079399,4.6
0.103815930522002,0.1374053,1.7728323,5
0.166538971444181,0.07457844,3.35202384,5
0.0925470182391995,0.01595436,0.95899116,3.8
0.169738493114471,0.04115615,0.81105278,4
0.101994917413263,1.023382,1.023382,4.8
0.262723808438509,0.008107869,2.977265719,4.8
0.472488435795329,0.0003978155,0.0108058065,2.8
0.0733388712220389,0.0003516629,0.1320264939,3.8
0.266864546572845,0.2136013,1.8481771,4.2
0.121293081481967,1.79247,1.79247,4
0.797475195836652,0.008020515,0.122277755,5
0.627994415030251,0.0001115091,0.0005575455,2.8
0.023123952025182,2.565331,2.565331,4
0.811199723228074,1.380454,10.85789,4.8
0.805263636709184,0.4963009,4.33707,4.2
0.887116993984669,0.0006276452,0.003138226,4
0.0479336019815378,10.49954,10.49954,4.6
0.023123952025182,0.9336615,0.9336615,2.2
0.19496071979712,1.73338,16.08882,2.6
0.231848675128787,0.1100036,1.2205646,2.4
0.523388123891971,0.006630104,0.050526468,5
0.0500811743097025,0.004367125,0.140876505,4.6
0.439951050201544,0.02310212,0.1155106,3.4
0.164471298458376,0.08024012,3.02878682,4.2
0.0158717686076423,0.2442636,1.5342417,4.4
0.106147508847817,0.002532532,0.046034401,5
0.772115062925706,3.148945,15.744725,4.6
0.185515551929365,0.02099559,0.82646507,4.2
0.0479336019815378,11.83719,11.83719,4
1.0147255364781,0.008296396,0.04148198,4.6
0.478487571608195,0.05842737,1.27319956,3.8
0.0580961869786405,1.849214,1.849214,4.2
0.825699577980919,1.687959,13.115362,4.8
0.149151655751518,0.3038141,2.2687841,4.2
0.121293081481967,9.385394,9.385394,5
0.26267642353342,0.01258327,2.86432464,4.2
0.0560220907654544,0.01575269,0.30222885,3.8
0.121293081481967,15.17265,15.17265,3.8
0.2704684694427,0.004818794,2.023067939,3.8
0.121293081481967,8.830167,8.830167,3.8
0.499022106315617,0.05650245,6.04805945,4.4
0.806911493271286,0.03059731,0.46647516,4
0.499022106315618,0.0430146,4.0178038,4
0.0479336019815378,10.25216,10.25216,3.8
0.0263209592442513,0.1194153,1.5829073,4.6
0.0949087435834756,0.002468666,0.253007186,4.6
0.231848675128787,0.2356944,1.1459913,4.4
0.119906981597777,0.39419,1.97095,5
0.0312159944958562,0.266967,2.4030266,3.8
0.162644504633994,0.007721763,0.267849313,4.2
0.0944758302476041,0.01070846,3.84187116,4.8
0.0580961869786405,1.610924,1.610924,4
0.47917024445029,0.012993,0.064965,4
0.478487571608195,0.08917902,1.24336722,5
0.289132674467275,0.05625863,0.78212403,2.8
0.0405113710193578,0.9349031,14.1599324,4.4
0.231848675128787,0.5129185,1.3789151,2.4
0.161055728995438,0.014589,0.28978839,4.6
0.499022106315617,0.03827625,4.10234855,4.2
0.273191767894335,0.2405507,2.7260085,4.8
0.0580961869786405,0.9494821,0.9494821,4.4
0.518858226546373,0.01544541,0.15172026,1.6
0.290487321679428,0.6248391,10.8588681,4.4
0.234954248062789,0.08863916,2.28184516,4.6
0.523282881946804,0.02313613,0.25330892,4.6
0.17178922801686,0.1260194,12.6194094,3.8
0.023123952025182,1.933313,1.933313,3.8
0.407164250614357,0.03466604,3.38694201,4.2
0.873630642258027,0.1041193,1.1796537,4.4
0.499022106315618,0.03392921,3.30963431,4.8
0.446586962665694,0.01173285,0.43510104,4
0.0714074244666196,0.03686069,0.44859859,2.6
0.0769296948917532,0.0007524482,0.1208153462,3.8
0.64586236276409,0.1288781,0.6443905,4
0.799024066185325,0.07643945,1.15365645,4.4
0.101994917413263,9.079399,9.079399,4.6
0.366057223515771,0.004014554,0.176005494,4.8
0.163941770392682,0.5083414,1.9130234,4.8
0.023123952025182,1.653994,1.653994,4.2
0.141735345963368,0.1722804,2.2776597,3.4
0.121607475157336,0.06121447,0.50221713,2.8
0.499022106315618,0.04244028,3.67134228,4.6
0.0525085051157347,0.01195895,0.2489534,4.6
0.414439672499923,0.04093512,3.50157582,3.8
0.0580961869786405,3.216436,3.216436,4.6
0.0479336019815378,10.85518,10.85518,3.8
0.376422688165855,0.001750994,0.051796462,4.8
0.0777005513237434,0.002634855,0.196048798,4.4
0.19496071979712,2.588967,14.319597,4.6
0.0260947109853698,0.01378482,2.66194784,3.8
0.273938911999521,0.01327662,3.6409304,4.8
0.0954463315254779,0.01669065,2.60636275,4.6
0.121293081481967,1.248541,1.248541,4.4
0.0251991078066888,0.07692423,1.16620223,3.8
0.258571330791571,0.01302081,1.09309523,3.8
0.0376690819090842,0.02895237,2.10052997,4.2
0.0818261443572527,0.002433238,0.100381832,4.4
0.107697821052199,0.06804373,0.43383488,3.8
0.121293081481967,1.149092,1.149092,4.2
0.111912884822861,0.00571329,0.20028275,4
0.414439672499923,0.09158024,3.41783654,5
0.0857671604269111,11.57111,11.57111,3.8
0.0569977099942379,0.04002518,0.35500843,4.8
0.381143089559602,0.04066347,0.26901861,4.6
0.812339931043168,0.07289643,1.11135163,4.4
0.407164250614357,0.08082488,3.77612248,5
0.422584039790785,0.2075479,1.9371592,4
0.506682173269991,0.009597949,0.100654838,4
0.130396860937004,0.02697055,0.91163385,3.8
0.113125788564135,0.0003528617,0.0795070137,4.8
0.819370086168492,0.1044372,0.522186,4.6
0.11213319625901,0.0001904407,0.1930509607,4.4
0.051457194048802,0.003856667,2.138637347,4.4
0.0910260293745193,0.009381194,0.138652598,3.8
0.173201211001261,0.0493781,1.18405366,4.8
0.106398201846555,0.05864057,0.49103405,4.4
0.231848675128787,0.03780317,1.47768817,3.8
0.216706587107291,0.05615907,2.04655575,4.4
0.803232277225861,0.01126853,0.64135217,4.8
0.38018769474972,0.0195443,0.1997596,4.6
0.0666020900843226,9.079399,9.079399,4
0.367334235520463,0.009282853,0.094319734,4
0.0340344235965263,0.03209214,2.47938549,3.6
0.213313900870353,0.07746751,0.58730492,3.8
0.113041759627865,0.0581375,0.47850087,3.6
0.0952992259020752,0.01198447,4.28130057,4.2
0.121293081481967,0.8194019,0.8194019,4.6
0.0921628117326447,9.588015,9.588015,5
0.820448516540521,0.1329861,2.1849353,5
0.0916556247903354,0.006443664,0.149515304,4.8
0.499022106315618,0.1185687,0.6505338,4.4
0.799024066185325,0.1242959,1.2734134,4.8
0.224605546111246,0.009595494,1.091353654,3.8
0.156566027315276,0.06184511,9.27924211,3.8
0.169506988210454,0.1426931,0.4763485,4.6
0.478487571608195,0.0793654,0.94072538,4
0.0811135723017804,2.789712,2.789712,5
0.121293081481967,1.027821,1.027821,4.6
0.0294681842607112,0.08536523,1.59801053,3.8
0.175348752627657,0.01548969,0.56359189,3.8
0.810189157039504,0.08984414,1.23514434,3.8
0.0985810389087876,0.004868094,0.180542004,4.8
0.0606465407409834,1.171004,1.171004,4
0.0296261931441713,0.09609921,2.00100361,4.4
0.0953101384098922,0.0002551652,0.1398723142,4
0.478487571608195,0.07758177,1.64454522,4.4
0.101994917413263,1.862017,1.862017,5
0.0606465407409834,1.766122,1.766122,4.8
0.529858413958575,0.007623336,0.046274908,4
0.0479336019815378,9.773758,9.773758,4.2
0.17178922801686,0.1072994,7.5285384,4.8
0.275050291664558,0.06251455,0.88828115,4.2
0.121293081481967,0.9357942,0.9357942,4.2
